n,Iterative,Recursive
0,1710,855
1,1283,855
2,428,855
3,427,856
4,855,856
5,856,855
6,855,855
7,855,1283
8,855,1283
9,427,1711
10,427,1283
11,856,1710
12,428,1710
13,856,1710
14,855,1711
15,855,1711
16,856,1710
17,855,2138
18,856,2138
19,855,2139
20,855,2138
21,855,2139
22,856,2566
23,855,4704
24,856,2566
25,855,2566
26,427,2994
27,855,2994
28,428,2993
29,856,2993
30,855,2994
31,856,2994
32,855,2993
33,855,2566
34,1283,2993
35,856,3422
36,855,3421
37,856,3849
38,855,3849
39,855,3849
40,856,3421
41,1283,4277
42,1283,4704
43,855,23948
44,855,3849
45,855,3849
46,855,3849
47,1283,4277
48,855,4277
49,855,4277
50,856,4276
51,855,4704
52,1283,4276
53,856,4704
54,855,4704
55,855,4704
56,855,4704
57,855,4705
58,856,4704
59,856,5132
60,1283,19672
61,855,5132
62,855,5132
63,855,5559
64,1283,6415
65,855,6415
66,1283,6415
67,855,6843
68,1283,6415
69,1283,6415
70,1283,6415
71,1283,6843
72,1283,7270
73,1283,7270
74,855,7270
75,855,7270
76,1283,7270
77,855,20528
78,1283,7697
79,1283,7698
80,1283,7697
81,855,8126
82,1283,8125
83,1283,7697
84,1283,8126
85,1283,8126
86,1283,8125
87,1283,8553
88,1283,8553
89,1283,8553
90,1283,8553
91,1283,8553
92,1282,8554
93,1283,8981
94,1283,18817
95,1283,8981
96,1283,8980
97,1283,9408
98,1283,9408
99,1283,9409
100,1711,9408
101,1283,9836
102,1283,9836
103,1711,9408
104,1283,9836
105,1283,9836
106,1283,9836
107,1283,9836
108,1283,10264
109,1283,10692
110,1283,8553
111,1283,21383
112,1710,9409
113,1711,9836
114,1283,9836
115,1710,8980
116,1283,11546
117,1711,9409
118,1710,8553
119,1711,9408
120,1283,10264
121,1283,9836
122,1283,10263
123,1283,10263
124,1711,10264
125,1283,9837
126,1710,23093
127,1711,14113
128,1283,45759
129,1711,14112
130,1711,16679
131,2138,18817
132,1711,17534
133,1711,17534
134,1711,17961
135,1711,17961
136,1710,17962
137,1710,17962
138,2566,17107
139,2139,17106
140,1711,19672
141,2138,16679
142,2566,32930
143,2138,21383
144,1710,19245
145,2138,62010
146,1711,15823
147,2138,13258
148,1711,19672
149,2994,19672
150,1710,19245
151,2566,24377
152,2139,19672
153,1710,13685
154,1711,13257
155,1711,12402
156,1710,12402
157,1711,12402
158,1710,13258
159,1710,22238
160,1711,13257
161,1283,13257
162,1711,12830
163,1711,29508
164,1710,13685
165,1711,13685
166,1711,16679
167,1710,13685
168,1711,14113
169,1711,14113
170,1283,14113
171,1711,14113
172,1710,14540
173,1710,14540
174,1711,14541
175,1711,14541
176,1711,14540
177,1711,14540
178,1710,14968
179,1711,14968
180,1711,25659
181,1710,14540
182,1711,14967
183,1711,14967
184,2138,15395
185,2138,14967
186,1710,15823
187,2138,15396
188,1710,15396
189,1711,15395
190,1710,15823
191,2138,15824
192,1711,15823
193,2138,15823
194,2138,15823
195,1711,15823
196,1711,15823
197,1711,26515
198,1711,16251
199,2138,16251
200,1711,17961
201,2138,15395
202,2566,16251
203,2138,23949
204,2139,17961
205,2138,17962
206,2138,17962
207,2138,19245
208,2139,18389
209,2138,18389
210,2138,18389
211,2139,17962
212,2138,19673
213,2138,26942
214,2138,35495
215,2138,18389
216,2566,18817
217,2139,20100
218,2139,17961
219,2566,19672
220,2138,19672
221,2138,18817
222,2138,18389
223,2138,19672
224,2139,20100
225,2138,17534
226,2138,20100
227,2566,23521
228,2138,20528
229,2138,19672
230,2138,19672
231,2138,30364
232,2138,20100
233,2566,20100
234,2138,19244
235,2138,19672
236,2566,20100
237,2138,20100
238,5132,20528
239,2138,83820
